Magnetic Anomaly (2018)
---------------------------------
Column1: Longitude (degree)
Column2: Latitude (degree)
Column3: Magnetic Anomaly (nT)
---------------------------------
Longit. Latit.  MagAno
126.350 33.325    63.1
126.375 33.325   102.2
126.400 33.325   410.8
126.425 33.325   398.0
126.450 33.325   542.3
126.475 33.325   766.0
126.500 33.325   616.2
126.525 33.325   749.5
126.550 33.325  1170.1
126.575 33.325   518.9
126.600 33.325   174.8
126.625 33.325   239.7
126.650 33.325   204.7
126.675 33.325   306.1
126.700 33.325   219.0
126.725 33.325   440.4
126.750 33.325     8.5
126.775 33.325   -18.0
126.800 33.325    64.5
126.825 33.325   159.2
126.200 33.350  -199.9
126.225 33.350  -138.8
126.250 33.350  -111.4
126.275 33.350   -40.5
126.300 33.350  -209.9
126.325 33.350     6.0
126.350 33.350   284.4
126.375 33.350   334.3
126.400 33.350   -33.0
126.425 33.350   259.4
126.450 33.350   376.3
126.475 33.350   192.0
126.500 33.350    83.8
126.525 33.350   496.0
126.550 33.350   953.6
126.575 33.350   905.6
126.600 33.350   518.4
126.625 33.350   445.7
126.650 33.350   328.7
126.675 33.350   335.9
126.700 33.350   240.4
126.725 33.350   445.5
126.750 33.350   139.6
126.775 33.350    37.9
126.800 33.350   -27.1
126.825 33.350   123.2
126.850 33.350   402.3
126.225 33.375   -64.3
126.250 33.375  -175.1
126.275 33.375   -88.2
126.300 33.375   -56.0
126.325 33.375    34.9
126.350 33.375   -75.2
126.375 33.375   -71.5
126.400 33.375    -5.5
126.425 33.375  -134.1
126.450 33.375   -91.7
126.475 33.375  -226.5
126.500 33.375  -200.0
126.525 33.375   127.8
126.550 33.375    -3.5
126.575 33.375    61.5
126.600 33.375   312.2
126.625 33.375   197.0
126.650 33.375   145.6
126.675 33.375   197.7
126.700 33.375   236.2
126.725 33.375   415.1
126.750 33.375   206.5
126.775 33.375   239.1
126.800 33.375   -15.2
126.825 33.375   214.8
126.850 33.375   342.8
126.875 33.375   360.8
126.250 33.400  -258.3
126.275 33.400  -288.0
126.300 33.400  -227.4
126.325 33.400  -160.1
126.350 33.400  -186.4
126.375 33.400   -17.7
126.400 33.400   -42.6
126.425 33.400   -42.2
126.450 33.400   -35.6
126.475 33.400  -109.7
126.500 33.400   -33.2
126.525 33.400  -408.5
126.550 33.400  -114.2
126.575 33.400  -144.0
126.600 33.400    74.3
126.625 33.400   215.1
126.650 33.400    50.8
126.675 33.400   116.3
126.700 33.400   -21.7
126.725 33.400   -25.1
126.750 33.400   144.0
126.775 33.400   123.4
126.800 33.400    25.0
126.825 33.400  -165.9
126.850 33.400  -164.5
126.875 33.400   240.3
126.900 33.400   241.1
126.275 33.425   -11.1
126.300 33.425   -85.8
126.325 33.425   -51.8
126.350 33.425   -36.8
126.375 33.425  -164.8
126.400 33.425  -205.4
126.425 33.425  -380.3
126.450 33.425  -368.7
126.475 33.425  -174.5
126.500 33.425  -111.3
126.525 33.425  -165.8
126.550 33.425    -0.1
126.575 33.425    25.8
126.600 33.425    28.0
126.625 33.425   369.1
126.650 33.425   176.4
126.675 33.425   122.7
126.700 33.425    70.7
126.725 33.425   245.6
126.750 33.425   125.9
126.775 33.425    76.5
126.800 33.425   134.1
126.825 33.425    89.7
126.850 33.425   -52.0
126.875 33.425    11.9
126.900 33.425   286.5
126.325 33.450  -200.0
126.350 33.450  -186.6
126.375 33.450  -124.4
126.400 33.450  -249.2
126.425 33.450  -371.0
126.450 33.450  -258.8
126.475 33.450  -271.6
126.500 33.450  -224.8
126.525 33.450  -143.6
126.550 33.450  -105.4
126.575 33.450    18.7
126.600 33.450    42.2
126.625 33.450   -97.3
126.650 33.450    34.9
126.675 33.450  -113.2
126.700 33.450   -74.8
126.725 33.450   -19.9
126.750 33.450   197.6
126.775 33.450   -53.6
126.800 33.450   100.7
126.825 33.450   -68.8
126.850 33.450  -475.0
126.875 33.450  -113.1
126.900 33.450     9.1
126.925 33.450    52.9
126.375 33.475  -195.8
126.400 33.475   -61.1
126.425 33.475   279.5
126.450 33.475   -95.4
126.475 33.475  -225.7
126.500 33.475  -485.2
126.525 33.475  -274.6
126.550 33.475  -251.8
126.575 33.475   -74.4
126.600 33.475   -50.3
126.625 33.475  -165.2
126.650 33.475     2.4
126.675 33.475    58.6
126.700 33.475  -328.3
126.725 33.475    41.1
126.750 33.475    19.5
126.775 33.475   126.3
126.800 33.475    81.1
126.825 33.475  -162.6
126.850 33.475   -24.9
126.875 33.475    24.8
126.900 33.475     6.0
126.475 33.500   -12.1
126.500 33.500   -80.0
126.525 33.500   -70.6
126.550 33.500   -22.0
126.575 33.500   130.0
126.600 33.500   206.1
126.625 33.500   -82.6
126.650 33.500  -266.6
126.675 33.500  -355.5
126.700 33.500  -282.1
126.725 33.500  -223.4
126.750 33.500  -272.4
126.775 33.500  -176.0
126.800 33.500    69.4
126.825 33.500   -17.1
126.850 33.500   274.7
126.875 33.500   -20.1
126.900 33.500    87.4
126.600 33.525  -333.5
126.625 33.525  -282.9
126.650 33.525  -244.4
126.675 33.525  -228.7
126.700 33.525  -194.2
126.725 33.525  -139.0
126.750 33.525  -122.0
126.775 33.525  -130.1
126.800 33.525   165.9
126.825 33.525    98.4
126.850 33.525   -99.7
126.875 33.525  -105.8
126.700 33.550  -225.5
126.725 33.550  -223.7
126.750 33.550  -165.7
126.775 33.550  -174.9
126.800 33.550  -208.1
126.825 33.550   133.2
126.500 34.100  -161.8
126.525 34.100  -109.8
126.550 34.100  -162.3
126.575 34.100    -8.1
126.600 34.100    39.0
126.625 34.100     3.9
126.650 34.100    -0.1
126.675 34.100    -7.9
126.700 34.100   -45.8
126.725 34.100   -92.6
126.750 34.100  -121.9
126.775 34.100   -24.5
126.450 34.125   -87.0
126.475 34.125  -114.3
126.500 34.125  -198.7
126.525 34.125   -18.1
126.550 34.125   149.3
126.575 34.125    41.5
126.600 34.125    51.2
126.625 34.125    75.0
126.650 34.125    84.0
126.675 34.125    85.7
126.700 34.125    42.5
126.725 34.125   130.9
126.750 34.125    60.4
126.775 34.125    58.3
126.800 34.125   -27.0
126.825 34.125    27.7
126.850 34.125   112.2
126.875 34.125   144.6
126.900 34.125   112.8
126.925 34.125   128.9
126.950 34.125   373.8
126.975 34.125   301.0
127.000 34.125   270.6
126.450 34.150     0.9
126.475 34.150  -103.0
126.500 34.150  -117.8
126.525 34.150   -43.2
126.550 34.150   -54.9
126.575 34.150   147.1
126.600 34.150    49.9
126.625 34.150    54.9
126.650 34.150   145.7
126.675 34.150    97.9
126.700 34.150   -96.1
126.725 34.150    85.2
126.750 34.150   198.1
126.775 34.150   121.3
126.800 34.150   -61.8
126.825 34.150     6.9
126.850 34.150   105.4
126.875 34.150   315.4
126.900 34.150   239.2
126.925 34.150   120.7
126.950 34.150   201.2
126.975 34.150   193.3
127.000 34.150   -76.6
126.450 34.175   -71.3
126.475 34.175   -12.0
126.500 34.175  -125.5
126.525 34.175   -92.4
126.550 34.175   -76.5
126.575 34.175  -115.5
126.600 34.175    47.9
126.625 34.175   247.4
126.650 34.175   343.2
126.675 34.175   519.0
126.700 34.175    -7.8
126.725 34.175  -202.7
126.750 34.175   100.7
126.775 34.175    63.1
126.800 34.175    -6.1
126.825 34.175     6.6
126.850 34.175   199.5
126.875 34.175    -7.3
126.900 34.175    -5.7
126.925 34.175    33.5
126.950 34.175    10.6
126.975 34.175   723.2
127.000 34.175   142.7
125.825 34.200    40.4
125.850 34.200   -11.9
125.875 34.200   -31.7
125.900 34.200    17.8
125.925 34.200   100.8
125.950 34.200   477.2
125.975 34.200   166.6
126.000 34.200   127.5
126.025 34.200   155.5
126.050 34.200    23.9
126.075 34.200    73.8
126.100 34.200   117.9
126.125 34.200   378.9
126.150 34.200   207.4
126.175 34.200   213.2
126.200 34.200    90.5
126.225 34.200    25.3
126.250 34.200   -29.6
126.275 34.200    60.0
126.300 34.200   -45.8
126.325 34.200   -10.3
126.350 34.200   -68.7
126.375 34.200   -67.8
126.400 34.200  -177.4
126.425 34.200  -184.4
126.450 34.200  -172.3
126.475 34.200  -164.8
126.500 34.200  -151.4
126.525 34.200  -191.1
126.550 34.200  -212.1
126.575 34.200   -91.4
126.600 34.200   -36.7
126.625 34.200     5.2
126.650 34.200  -149.4
126.675 34.200  -392.2
126.700 34.200  -213.2
126.725 34.200  -229.3
126.750 34.200  -217.8
126.775 34.200  -150.2
126.800 34.200   137.2
126.825 34.200  -112.8
126.850 34.200  -119.4
126.875 34.200    45.7
126.900 34.200   120.9
126.925 34.200    51.3
126.950 34.200   -76.4
126.975 34.200   440.4
127.000 34.200  -442.7
125.825 34.225   -51.4
125.850 34.225   -15.7
125.875 34.225    -7.2
125.900 34.225   -40.0
125.925 34.225   265.2
125.950 34.225   421.6
125.975 34.225   208.6
126.000 34.225   276.3
126.025 34.225   191.0
126.050 34.225   139.3
126.075 34.225   -65.7
126.100 34.225   117.9
126.125 34.225   111.5
126.150 34.225    84.6
126.175 34.225   166.1
126.200 34.225   167.4
126.225 34.225   122.2
126.250 34.225    43.9
126.275 34.225   111.3
126.300 34.225     9.4
126.325 34.225   -67.1
126.350 34.225   -39.7
126.375 34.225   -71.4
126.400 34.225   -76.4
126.425 34.225   -69.2
126.450 34.225   -72.8
126.475 34.225  -168.1
126.500 34.225  -167.9
126.525 34.225  -121.4
126.550 34.225  -124.9
126.575 34.225  -178.6
126.600 34.225  -206.1
126.625 34.225   -11.4
126.650 34.225  -222.4
126.675 34.225  -187.2
126.700 34.225  -218.4
126.725 34.225  -203.3
126.750 34.225  -168.1
126.775 34.225  -141.1
126.800 34.225   -35.8
126.825 34.225    78.3
126.850 34.225   104.6
126.875 34.225    46.4
126.900 34.225   122.2
126.925 34.225   111.9
126.950 34.225   255.8
126.975 34.225  -114.5
127.000 34.225  -167.1
125.825 34.250   -79.5
125.850 34.250    -5.4
125.875 34.250    67.3
125.900 34.250   155.8
125.925 34.250   456.3
125.950 34.250   334.2
125.975 34.250   196.8
126.000 34.250    89.8
126.025 34.250   133.5
126.050 34.250    98.8
126.075 34.250    -2.4
126.100 34.250    77.0
126.125 34.250  -150.4
126.150 34.250   364.0
126.175 34.250    30.5
126.200 34.250    41.1
126.225 34.250    57.9
126.250 34.250    -9.4
126.275 34.250    -1.4
126.300 34.250   -34.2
126.325 34.250    14.2
126.350 34.250   -33.5
126.375 34.250   -59.2
126.400 34.250   -48.6
126.425 34.250    -4.8
126.450 34.250   -72.8
126.475 34.250  -155.9
126.500 34.250  -108.0
126.525 34.250  -154.0
126.550 34.250  -213.9
126.575 34.250  -359.0
126.600 34.250  -262.4
126.625 34.250  -230.5
126.650 34.250  -137.2
126.675 34.250  -113.5
126.700 34.250  -135.8
126.725 34.250  -111.2
126.750 34.250  -198.2
126.775 34.250  -206.4
126.800 34.250   -91.1
126.825 34.250   -26.1
126.850 34.250    55.8
126.875 34.250   207.5
126.900 34.250   127.3
126.925 34.250   169.1
126.950 34.250   196.2
126.975 34.250    39.4
127.000 34.250   -50.8
127.025 34.250  -120.1
127.050 34.250  -105.3
127.075 34.250   -41.9
127.100 34.250     6.0
127.125 34.250    66.7
127.150 34.250   107.1
127.175 34.250    51.1
127.200 34.250    38.2
127.225 34.250    78.4
127.250 34.250   149.8
125.825 34.275   -96.7
125.850 34.275   -28.2
125.875 34.275    31.2
125.900 34.275   176.4
125.925 34.275   165.2
125.950 34.275   177.8
125.975 34.275   422.7
126.000 34.275   137.1
126.025 34.275   134.6
126.050 34.275   102.9
126.075 34.275    52.4
126.100 34.275   132.1
126.125 34.275   244.4
126.150 34.275   369.9
126.175 34.275    -4.1
126.200 34.275     0.8
126.225 34.275    -1.0
126.250 34.275   -18.8
126.275 34.275   -11.2
126.300 34.275   -39.9
126.325 34.275   -28.0
126.350 34.275   -59.3
126.375 34.275   -90.5
126.400 34.275   -94.3
126.425 34.275  -180.2
126.450 34.275  -151.4
126.475 34.275   -83.2
126.500 34.275  -214.3
126.525 34.275  -240.2
126.550 34.275  -272.9
126.575 34.275  -225.7
126.600 34.275  -309.8
126.625 34.275  -220.1
126.650 34.275  -171.6
126.675 34.275  -135.5
126.700 34.275   199.5
126.725 34.275   134.3
126.750 34.275   122.3
126.775 34.275  -131.2
126.800 34.275  -517.7
126.825 34.275  -150.0
126.850 34.275    30.8
126.875 34.275  -177.5
126.900 34.275    33.4
126.925 34.275   -37.1
126.950 34.275   -66.1
126.975 34.275    20.6
127.000 34.275   -41.8
127.025 34.275   -55.0
127.050 34.275   -76.9
127.075 34.275   -70.2
127.100 34.275   -49.7
127.125 34.275   -56.0
127.150 34.275   -59.0
127.175 34.275  -129.6
127.200 34.275    29.9
127.225 34.275    86.9
127.250 34.275    93.4
125.825 34.300  -107.6
125.850 34.300   -73.9
125.875 34.300    20.8
125.900 34.300   555.5
125.925 34.300   159.6
125.950 34.300    69.6
125.975 34.300    95.0
126.000 34.300    91.8
126.025 34.300    87.1
126.050 34.300   116.2
126.075 34.300    84.9
126.100 34.300     1.1
126.125 34.300  -385.9
126.150 34.300  -126.3
126.175 34.300   -27.7
126.200 34.300    33.3
126.225 34.300   -57.9
126.250 34.300   -50.9
126.275 34.300   -37.4
126.300 34.300   -92.2
126.325 34.300  -109.7
126.350 34.300  -141.3
126.375 34.300  -171.6
126.400 34.300  -108.6
126.425 34.300   -91.5
126.450 34.300  -184.1
126.475 34.300  -167.5
126.500 34.300  -169.9
126.525 34.300  -177.1
126.550 34.300  -174.3
126.575 34.300  -181.3
126.600 34.300  -159.9
126.625 34.300  -152.4
126.650 34.300  -118.7
126.675 34.300   -99.2
126.700 34.300   -73.5
126.725 34.300   231.5
126.750 34.300    73.0
126.775 34.300  -116.7
126.800 34.300   170.9
126.825 34.300  -124.3
126.850 34.300  -158.4
126.875 34.300    30.2
126.900 34.300    23.3
126.925 34.300    76.6
126.950 34.300   -33.5
126.975 34.300   135.6
127.000 34.300    47.0
127.025 34.300    38.9
127.050 34.300     8.5
127.075 34.300   -49.4
127.100 34.300    -7.4
127.125 34.300   125.0
127.150 34.300   -94.7
127.175 34.300   -74.4
127.200 34.300   -43.7
127.225 34.300  -137.9
127.250 34.300  -143.9
125.825 34.325  -154.8
125.850 34.325  -151.1
125.875 34.325  -141.7
125.900 34.325  -104.6
125.925 34.325    37.2
125.950 34.325    41.1
125.975 34.325     8.3
126.000 34.325   -28.2
126.025 34.325   -44.8
126.050 34.325    61.3
126.075 34.325     8.7
126.100 34.325    63.2
126.125 34.325    46.4
126.150 34.325    51.9
126.175 34.325   -23.8
126.200 34.325   -13.0
126.225 34.325    24.2
126.250 34.325   -36.3
126.275 34.325   -42.2
126.300 34.325   -86.1
126.325 34.325   -66.4
126.350 34.325  -183.0
126.375 34.325   -95.8
126.400 34.325  -113.3
126.425 34.325  -106.2
126.450 34.325  -117.1
126.475 34.325  -154.1
126.500 34.325  -132.3
126.525 34.325  -147.9
126.550 34.325  -124.1
126.575 34.325    71.4
126.600 34.325  -128.7
126.625 34.325   -92.4
126.650 34.325   -67.2
126.675 34.325    53.1
126.700 34.325   -30.5
126.725 34.325    15.4
126.750 34.325    22.4
126.775 34.325   -29.7
126.800 34.325   -62.8
126.825 34.325  -119.2
126.850 34.325  -139.0
126.875 34.325  -159.0
126.900 34.325  -105.9
126.925 34.325  -217.5
126.950 34.325  -159.6
126.975 34.325  -129.2
127.000 34.325    -1.1
127.025 34.325    -8.4
127.050 34.325    14.3
127.075 34.325    51.7
127.100 34.325   -32.6
127.125 34.325   -29.5
127.150 34.325  -228.2
127.175 34.325   -56.2
127.200 34.325    73.5
127.225 34.325   -99.9
127.250 34.325  -187.6
125.825 34.350  -185.7
125.850 34.350  -180.1
125.875 34.350  -169.5
125.900 34.350   -32.1
125.925 34.350    40.8
125.950 34.350   128.4
125.975 34.350   206.6
126.000 34.350     0.6
126.025 34.350    18.8
126.050 34.350   -12.4
126.075 34.350    48.7
126.100 34.350     1.9
126.125 34.350    74.4
126.150 34.350    29.1
126.175 34.350    25.9
126.200 34.350   105.2
126.225 34.350   184.4
126.250 34.350   222.7
126.275 34.350    80.6
126.300 34.350    25.3
126.325 34.350    38.5
126.350 34.350    19.7
126.375 34.350   -28.5
126.400 34.350    -7.9
126.425 34.350   -91.4
126.450 34.350   -25.5
126.475 34.350  -103.9
126.500 34.350   -75.3
126.525 34.350  -135.3
126.550 34.350  -138.9
126.575 34.350   -13.5
126.600 34.350  -117.8
126.625 34.350   -21.4
126.650 34.350    48.1
126.675 34.350   -55.9
126.700 34.350   -61.1
126.725 34.350   -30.8
126.750 34.350   -31.3
126.775 34.350  -223.4
126.800 34.350  -234.1
126.825 34.350  -138.7
126.850 34.350  -106.4
126.875 34.350   -90.6
126.900 34.350  -105.2
126.925 34.350  -121.4
126.950 34.350   -60.2
126.975 34.350   -75.4
127.000 34.350   -55.1
127.025 34.350   118.9
127.050 34.350    80.7
127.075 34.350   148.5
127.100 34.350   -51.8
127.125 34.350  -156.3
127.150 34.350  -196.7
127.175 34.350  -211.2
127.200 34.350  -133.1
127.225 34.350  -191.6
127.250 34.350  -119.9
127.275 34.350  -205.8
127.300 34.350  -223.4
127.325 34.350  -225.8
127.350 34.350  -194.7
127.375 34.350  -183.6
127.400 34.350  -163.5
127.425 34.350   -64.9
127.450 34.350    20.2
127.475 34.350    82.6
127.500 34.350   210.2
127.525 34.350   220.2
127.550 34.350   100.6
127.575 34.350     2.7
127.600 34.350    24.2
127.625 34.350    39.3
127.650 34.350     9.9
127.675 34.350   -29.3
127.700 34.350   -59.8
127.725 34.350   -54.4
127.750 34.350   -45.4
127.775 34.350   -25.1
127.800 34.350    -6.2
127.825 34.350    11.6
127.850 34.350    16.7
127.875 34.350    41.2
127.900 34.350    31.7
125.825 34.375  -155.0
125.850 34.375  -206.8
125.875 34.375  -231.1
125.900 34.375  -205.0
125.925 34.375   -76.3
125.950 34.375   152.2
125.975 34.375    -1.8
126.000 34.375   -54.0
126.025 34.375   -41.4
126.050 34.375    29.7
126.075 34.375    23.6
126.100 34.375    63.5
126.125 34.375  -232.8
126.150 34.375  -410.2
126.175 34.375   -68.1
126.200 34.375   156.7
126.225 34.375   367.7
126.250 34.375   260.8
126.275 34.375   155.8
126.300 34.375   163.1
126.325 34.375   194.0
126.350 34.375   315.9
126.375 34.375   377.2
126.400 34.375    58.2
126.425 34.375    73.7
126.450 34.375    -5.5
126.475 34.375   -49.0
126.500 34.375   -17.1
126.525 34.375   -44.2
126.550 34.375   -66.8
126.575 34.375   -26.3
126.600 34.375   -83.8
126.625 34.375    -8.8
126.650 34.375    22.3
126.675 34.375    -4.3
126.700 34.375    28.8
126.725 34.375  -150.3
126.750 34.375  -180.9
126.775 34.375  -165.6
126.800 34.375  -138.5
126.825 34.375   -89.1
126.850 34.375    -5.8
126.875 34.375   122.2
126.900 34.375   -98.9
126.925 34.375   -34.2
126.950 34.375  -254.0
126.975 34.375  -220.1
127.000 34.375   -97.7
127.025 34.375    23.7
127.050 34.375   -92.4
127.075 34.375    -5.7
127.100 34.375   -32.4
127.125 34.375   -77.6
127.150 34.375    20.2
127.175 34.375     7.6
127.200 34.375   -53.2
127.225 34.375  -122.2
127.250 34.375   113.0
127.275 34.375   136.3
127.300 34.375   -35.7
127.325 34.375  -118.5
127.350 34.375  -160.2
127.375 34.375  -130.9
127.400 34.375  -152.2
127.425 34.375   -86.8
127.450 34.375   -22.8
127.475 34.375    10.5
127.500 34.375   -21.7
127.525 34.375   110.0
127.550 34.375    87.3
127.575 34.375    41.0
127.600 34.375     4.8
127.625 34.375     5.1
127.650 34.375   -14.5
127.675 34.375   -38.0
127.700 34.375   -46.7
127.725 34.375    27.3
127.750 34.375   102.1
127.775 34.375   113.8
127.800 34.375   134.6
127.825 34.375   115.5
127.850 34.375   110.2
127.875 34.375    92.5
127.900 34.375    58.1
125.825 34.400  -200.5
125.850 34.400  -217.4
125.875 34.400  -206.9
125.900 34.400  -159.4
125.925 34.400  -130.2
125.950 34.400  -132.1
125.975 34.400    -8.3
126.000 34.400    46.9
126.025 34.400    31.7
126.050 34.400    50.5
126.075 34.400    10.0
126.100 34.400   126.8
126.125 34.400    59.7
126.150 34.400  -421.6
126.175 34.400  -241.9
126.200 34.400  -114.3
126.225 34.400   241.3
126.250 34.400   393.8
126.275 34.400   311.7
126.300 34.400   170.1
126.325 34.400   241.5
126.350 34.400   464.6
126.375 34.400   -50.3
126.400 34.400   105.7
126.425 34.400    28.2
126.450 34.400    27.3
126.475 34.400   -38.3
126.500 34.400   -47.4
126.525 34.400   -91.8
126.550 34.400    57.5
126.575 34.400   -34.8
126.600 34.400   171.0
126.625 34.400  -191.6
126.650 34.400   -42.9
126.675 34.400   122.9
126.700 34.400   -43.9
126.725 34.400   -28.2
126.750 34.400  -113.1
126.775 34.400  -140.1
126.800 34.400   101.6
126.825 34.400    39.9
126.850 34.400   123.3
126.875 34.400    54.9
126.900 34.400   -64.8
126.925 34.400  -323.9
126.950 34.400    -4.0
126.975 34.400  -207.7
127.000 34.400  -176.4
127.025 34.400    -3.0
127.050 34.400  -116.9
127.075 34.400   -98.6
127.100 34.400  -151.5
127.125 34.400   -52.7
127.150 34.400  -113.2
127.175 34.400   -83.0
127.200 34.400   -93.8
127.225 34.400   -92.8
127.250 34.400   127.5
127.275 34.400     8.8
127.300 34.400   -17.1
127.325 34.400   -69.6
127.350 34.400   -84.2
127.375 34.400  -112.8
127.400 34.400  -125.4
127.425 34.400   -95.2
127.450 34.400   -79.8
127.475 34.400    12.1
127.500 34.400   168.3
127.525 34.400   309.0
127.550 34.400   306.4
127.575 34.400   171.1
127.600 34.400   167.4
127.625 34.400   -20.3
127.650 34.400   -31.9
127.675 34.400   -44.9
127.700 34.400   -49.2
127.725 34.400    43.0
127.750 34.400   246.8
127.775 34.400   220.2
127.800 34.400   269.9
127.825 34.400    -9.6
127.850 34.400    57.4
127.875 34.400   149.8
127.900 34.400   212.8
127.925 34.400   160.1
125.825 34.425  -139.0
125.850 34.425  -127.7
125.875 34.425  -105.1
125.900 34.425   -88.7
125.925 34.425  -165.8
125.950 34.425  -144.9
125.975 34.425   -65.4
126.000 34.425   -29.2
126.025 34.425    84.4
126.050 34.425    74.5
126.075 34.425   -69.5
126.100 34.425   181.1
126.125 34.425   560.2
126.150 34.425  -126.4
126.175 34.425   -71.8
126.200 34.425   112.6
126.225 34.425    82.9
126.250 34.425   514.2
126.275 34.425   551.4
126.300 34.425   426.6
126.325 34.425   270.2
126.350 34.425   159.6
126.375 34.425   197.2
126.400 34.425   210.8
126.425 34.425   112.8
126.450 34.425    22.5
126.475 34.425    18.6
126.500 34.425    31.7
126.525 34.425    26.5
126.550 34.425    42.2
126.575 34.425    58.7
126.600 34.425    32.8
126.625 34.425    42.1
126.650 34.425  -170.8
126.675 34.425  -265.3
126.700 34.425  -191.7
126.725 34.425  -257.5
126.750 34.425  -333.5
126.775 34.425  -197.0
126.800 34.425  -104.5
126.825 34.425   -58.6
126.850 34.425  -203.0
126.875 34.425   712.2
126.900 34.425  -185.9
126.925 34.425  -283.2
126.950 34.425    -7.7
126.975 34.425  -262.9
127.000 34.425  -230.3
127.025 34.425  -205.8
127.050 34.425  -179.4
127.075 34.425  -220.2
127.100 34.425  -197.8
127.125 34.425   -50.1
127.150 34.425   -39.9
127.175 34.425    -2.6
127.200 34.425     9.5
127.225 34.425   -42.3
127.250 34.425  -120.0
127.275 34.425  -180.6
127.300 34.425  -135.1
127.325 34.425   -64.3
127.350 34.425   -80.1
127.375 34.425   -66.3
127.400 34.425   -55.5
127.425 34.425   -43.0
127.450 34.425   -35.5
127.475 34.425    -6.8
127.500 34.425    91.6
127.525 34.425   162.9
127.550 34.425   316.3
127.575 34.425    84.1
127.600 34.425    34.0
127.625 34.425    -3.2
127.650 34.425     1.8
127.675 34.425    -5.6
127.700 34.425   -31.1
127.725 34.425   -77.0
127.750 34.425   -95.4
127.775 34.425  -226.8
127.800 34.425   559.1
127.825 34.425  -110.2
127.850 34.425  -113.5
127.875 34.425  -161.2
127.900 34.425  -279.1
127.925 34.425   -40.5
127.950 34.425     9.7
125.825 34.450  -133.3
125.850 34.450  -162.5
125.875 34.450  -126.3
125.900 34.450    -4.3
125.925 34.450   -99.2
125.950 34.450  -146.9
125.975 34.450  -147.7
126.000 34.450  -130.8
126.025 34.450  -100.8
126.050 34.450  -111.4
126.075 34.450  -144.4
126.100 34.450  -142.0
126.125 34.450    96.7
126.150 34.450   366.5
126.175 34.450   276.6
126.200 34.450   195.4
126.225 34.450   -29.1
126.250 34.450   249.5
126.275 34.450   335.0
126.300 34.450   371.5
126.325 34.450   447.1
126.350 34.450   369.8
126.375 34.450   214.2
126.400 34.450   160.6
126.425 34.450    39.9
126.450 34.450    -7.6
126.475 34.450   -21.3
126.500 34.450     8.4
126.525 34.450    58.4
126.550 34.450    33.3
126.575 34.450    66.8
126.600 34.450   193.8
126.625 34.450   133.3
126.650 34.450    86.9
126.675 34.450  -183.8
126.700 34.450  -187.0
126.725 34.450  -235.6
126.750 34.450  -248.2
126.775 34.450   -41.2
126.800 34.450    35.8
126.825 34.450   -51.2
126.850 34.450  -237.0
126.875 34.450  -433.5
126.900 34.450  -133.3
126.925 34.450  -282.2
126.950 34.450   -94.0
126.975 34.450  -192.2
127.000 34.450  -124.7
127.025 34.450  -110.4
127.050 34.450  -173.3
127.075 34.450  -128.7
127.100 34.450  -146.1
127.125 34.450  -340.6
127.150 34.450  -283.3
127.175 34.450     5.3
127.200 34.450   275.8
127.225 34.450    34.6
127.250 34.450    72.9
127.275 34.450    24.2
127.300 34.450   -17.2
127.325 34.450   -51.8
127.350 34.450   -41.2
127.375 34.450   -59.5
